Day,Date,Temperature,Weather,Feels Like,Wind,Humidity,Chances,Amount,UV,Sunrise,Sunset
Thu,3 Aug,35 / 21ʡC,Sunny.,33ʡC,14 km/h,13%,0%,-,10 (Very high),05:51,19:24
Fri,4 Aug,35 / 20ʡC,Sunny.,33ʡC,9 km/h,12%,0%,-,10 (Very high),05:52,19:23
Sat,5 Aug,35 / 21ʡC,Sunny.,32ʡC,10 km/h,11%,0%,-,10 (Very high),05:52,19:22
Sun,6 Aug,35 / 21ʡC,Breaks of sun late.,33ʡC,15 km/h,13%,0%,-,5 (Moderate),05:53,19:22
Mon,7 Aug,36 / 21ʡC,Sunny.,33ʡC,15 km/h,12%,0%,-,10 (Very high),05:53,19:21
Tue,8 Aug,35 / 20ʡC,Scattered clouds.,32ʡC,8 km/h,13%,0%,-,10 (Very high),05:54,19:20
Wed,9 Aug,35 / 23ʡC,Broken clouds.,32ʡC,10 km/h,13%,0%,-,5 (Moderate),05:55,19:19
Thu,10 Aug,38 / 23ʡC,Breaks of sun late.,32ʡC,7 km/h,12%,4%,-,5 (Moderate),05:55,19:18
Fri,11 Aug,38 / 23ʡC,Sunny.,34ʡC,6 km/h,11%,4%,-,10 (Very high),05:56,19:17
Sat,12 Aug,39 / 24ʡC,Sunny.,34ʡC,8 km/h,11%,4%,-,10 (Very high),05:56,19:16
Sun,13 Aug,39 / 24ʡC,Sunny.,34ʡC,13 km/h,11%,4%,-,10 (Very high),05:57,19:15
Mon,14 Aug,39 / 24ʡC,Cloudy.,35ʡC,10 km/h,14%,5%,-,5 (Moderate),05:58,19:14
Tue,15 Aug,38 / 24ʡC,Scattered clouds.,35ʡC,8 km/h,16%,6%,-,7 (High),05:58,19:13
Wed,16 Aug,38 / 24ʡC,Mostly sunny.,34ʡC,11 km/h,12%,6%,-,7 (High),05:59,19:12
Thu,17 Aug,39 / 24ʡC,Sunny.,35ʡC,8 km/h,13%,4%,-,7 (High),05:59,19:11
